timestamp,memory_working_set_bytes,memory_usage_bytes,memory_rss_bytes,memory_cache_bytes,cpu_throttled_rate,cpu_periods_rate,cpu_usage_rate,fs_reads_bytes_rate,fs_writes_bytes_rate,fs_reads_total_rate,fs_writes_total_rate,datetime,memory_working_set_bytes_mb,memory_usage_bytes_mb,memory_rss_bytes_mb,memory_cache_bytes_mb,memory_usage_percent,memory_rss_percent,cpu_usage_percent,cpu_throttling_percent,fs_total_io_bytes_rate,fs_total_io_mbps,fs_total_iops,hour,minute,time_period,memory_usage_percent_ma_5,memory_usage_percent_std_5,memory_usage_percent_max_5,memory_usage_percent_min_5,memory_usage_percent_ma_10,memory_usage_percent_std_10,memory_usage_percent_max_10,memory_usage_percent_min_10,memory_usage_percent_ma_30,memory_usage_percent_std_30,memory_usage_percent_max_30,memory_usage_percent_min_30,memory_usage_percent_ma_60,memory_usage_percent_std_60,memory_usage_percent_max_60,memory_usage_percent_min_60,cpu_usage_percent_ma_5,cpu_usage_percent_std_5,cpu_usage_percent_max_5,cpu_usage_percent_min_5,cpu_usage_percent_ma_10,cpu_usage_percent_std_10,cpu_usage_percent_max_10,cpu_usage_percent_min_10,cpu_usage_percent_ma_30,cpu_usage_percent_std_30,cpu_usage_percent_max_30,cpu_usage_percent_min_30,cpu_usage_percent_ma_60,cpu_usage_percent_std_60,cpu_usage_percent_max_60,cpu_usage_percent_min_60,fs_total_io_bytes_rate_ma_5,fs_total_io_bytes_rate_std_5,fs_total_io_bytes_rate_max_5,fs_total_io_bytes_rate_min_5,fs_total_io_bytes_rate_ma_10,fs_total_io_bytes_rate_std_10,fs_total_io_bytes_rate_max_10,fs_total_io_bytes_rate_min_10,fs_total_io_bytes_rate_ma_30,fs_total_io_bytes_rate_std_30,fs_total_io_bytes_rate_max_30,fs_total_io_bytes_rate_min_30,fs_total_io_bytes_rate_ma_60,fs_total_io_bytes_rate_std_60,fs_total_io_bytes_rate_max_60,fs_total_io_bytes_rate_min_60,memory_usage_percent_diff_1,memory_usage_percent_pct_change_1,memory_usage_percent_lag_1,memory_usage_percent_diff_5,memory_usage_percent_pct_change_5,memory_usage_percent_lag_5,memory_usage_percent_diff_10,memory_usage_percent_pct_change_10,memory_usage_percent_lag_10,memory_usage_percent_diff_30,memory_usage_percent_pct_change_30,cpu_usage_percent_diff_1,cpu_usage_percent_pct_change_1,cpu_usage_percent_lag_1,cpu_usage_percent_diff_5,cpu_usage_percent_pct_change_5,cpu_usage_percent_lag_5,cpu_usage_percent_diff_10,cpu_usage_percent_pct_change_10,cpu_usage_percent_lag_10,cpu_usage_percent_diff_30,cpu_usage_percent_pct_change_30,memory_usage_percent_zscore,memory_usage_percent_iqr_score,memory_usage_percent_modified_zscore,cpu_usage_percent_zscore,cpu_usage_percent_iqr_score
1759151576.000000,27762688.000000,34807808.000000,4489216.000000,26497024.000000,0.000000,0.271616,0.000143,0.000000,0.000000,0.000000,0.000000,2025-09-29 13:12:56,26.476562,33.195312,4.281250,25.269531,5.171204,0.836182,0.014340,0.000000,0.000000,0.000000,0.000000,13,12,afternoon,2.618790,3.024403,5.303955,0.000000,2.618790,3.024403,5.303955,0.000000,2.618790,3.024403,5.303955,0.000000,2.618790,3.024403,5.303955,0.000000,0.014340,0.008771,0.014340,0.014340,0.014340,0.018256,0.014340,0.014340,0.014340,0.026037,0.014340,0.014340,0.014340,0.028188,0.014340,0.014340,0.000000,43449.652786,0.000000,0.000000,0.000000,108599.802704,0.000000,0.000000,0.000000,164952.379883,0.000000,0.000000,0.000000,175015.304868,0.000000,0.000000,-0.132751,-2.502877,5.303955,0.051880,0.625057,7.937622,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.000000,0.000000,0.020829,-0.000793,-0.345865,0.020443,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.911160,-1.506323,-4.054850,-0.246661,0.016085
1759151606.000000,27762688.000000,34807808.000000,4489216.000000,26497024.000000,0.000000,0.282566,0.000143,0.000000,0.000000,0.000000,0.000000,2025-09-29 13:13:26,26.476562,33.195312,4.281250,25.269531,5.171204,0.836182,0.014340,0.000000,0.000000,0.000000,0.000000,13,13,afternoon,3.129272,2.857136,5.303955,0.000000,3.129272,2.857136,5.303955,0.000000,3.129272,2.857136,5.303955,0.000000,3.129272,2.857136,5.303955,0.000000,0.014340,0.000000,0.014340,0.014340,0.014340,0.000000,0.014340,0.014340,0.014340,0.000000,0.014340,0.014340,0.014340,0.000000,0.014340,0.014340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.171204,0.051880,0.625057,7.937622,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.000000,0.000000,0.014340,-0.000793,-0.345865,0.020443,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.911160,-1.506323,-4.054850,-0.246661,0.016085
1759151636.000000,36298752.000000,42872832.000000,10870784.000000,27283456.000000,0.000000,0.290538,0.000888,130904.864900,2781.246852,4.632469,0.032282,2025-09-29 13:13:56,34.617188,40.886719,10.367188,26.019531,6.761169,2.024841,0.088806,0.000000,133686.111752,0.127493,4.664751,13,13,afternoon,4.481506,2.593673,6.761169,0.000000,3.734589,2.954493,6.761169,0.000000,3.734589,2.954493,6.761169,0.000000,3.734589,2.954493,6.761169,0.000000,0.039162,0.042993,0.088806,0.014340,0.039162,0.042993,0.088806,0.014340,0.039162,0.042993,0.088806,0.014340,0.039162,0.042993,0.088806,0.014340,44562.037251,77183.712607,133686.111752,0.000000,44562.037251,77183.712607,133686.111752,0.000000,44562.037251,77183.712607,133686.111752,0.000000,44562.037251,77183.712607,133686.111752,0.000000,1.589966,30.746533,5.171204,6.761169,inf,0.000000,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.074466,519.281145,0.014340,-0.000793,-0.345865,0.020443,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-0.628492,-0.220697,-1.717929,-0.012919,1.759248
1759151666.000000,36298752.000000,42872832.000000,10870784.000000,27283456.000000,0.000000,0.290538,0.000888,130904.864900,3107.337702,4.632469,0.032282,2025-09-29 13:14:26,34.617188,40.886719,10.367188,26.019531,6.761169,2.024841,0.088806,0.000000,134012.202602,0.127804,4.664751,13,14,afternoon,5.833740,0.848356,6.761169,5.171204,4.166957,2.929639,6.761169,0.000000,4.166957,2.929639,6.761169,0.000000,4.166957,2.929639,6.761169,0.000000,0.051573,0.042993,0.088806,0.014340,0.051573,0.042993,0.088806,0.014340,0.051573,0.042993,0.088806,0.014340,0.051573,0.042993,0.088806,0.014340,66924.578588,77277.961594,134012.202602,0.000000,66924.578588,77277.961594,134012.202602,0.000000,66924.578588,77277.961594,134012.202602,0.000000,66924.578588,77277.961594,134012.202602,0.000000,0.000000,0.000000,6.761169,6.761169,inf,0.000000,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.000000,0.000000,0.088806,-0.000793,-0.345865,0.020443,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-0.628492,-0.220697,-1.717929,-0.012919,1.759248
1759151696.000000,30449664.000000,30986240.000000,10870784.000000,15474688.000000,0.000000,0.031774,0.000125,34944.030503,0.000000,0.810231,0.000000,2025-09-29 13:14:56,29.039062,29.550781,10.367188,14.757812,5.671692,2.024841,0.012455,0.000000,34944.030503,0.033325,0.810231,13,14,afternoon,5.907288,0.805818,6.761169,5.171204,4.355049,2.764001,6.761169,0.000000,4.355049,2.764001,6.761169,0.000000,4.355049,2.764001,6.761169,0.000000,0.043750,0.041138,0.088806,0.012455,0.043750,0.041138,0.088806,0.012455,0.043750,0.041138,0.088806,0.012455,0.043750,0.041138,0.088806,0.012455,60528.468971,68435.835659,134012.202602,0.000000,60528.468971,68435.835659,134012.202602,0.000000,60528.468971,68435.835659,134012.202602,0.000000,60528.468971,68435.835659,134012.202602,0.000000,-1.089478,-16.113744,6.761169,0.367737,6.933257,5.303955,-0.003052,-0.038399,7.944489,0.057220,0.763317,-0.076351,-85.974722,0.088806,-0.000793,-0.345865,0.020443,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.507403,-1.101635,-3.319235,-0.252577,-0.028038
1759151726.000000,30449664.000000,30986240.000000,10870784.000000,15474688.000000,0.000000,0.031774,0.000125,34944.030503,0.000000,0.810231,0.000000,2025-09-29 13:15:26,29.039062,29.550781,10.367188,14.757812,5.671692,2.024841,0.012455,0.000000,34944.030503,0.033325,0.810231,13,15,afternoon,6.007385,0.717802,6.761169,5.171204,4.501343,2.622472,6.761169,0.000000,4.501343,2.622472,6.761169,0.000000,4.501343,2.622472,6.761169,0.000000,0.043373,0.041482,0.088806,0.012455,0.038534,0.038950,0.088806,0.012455,0.038534,0.038950,0.088806,0.012455,0.038534,0.038950,0.088806,0.012455,67517.275072,62210.339357,134012.202602,0.000000,56264.395893,62095.610128,134012.202602,0.000000,56264.395893,62095.610128,134012.202602,0.000000,56264.395893,62095.610128,134012.202602,0.000000,0.000000,0.000000,5.671692,0.500488,9.678371,5.171204,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.000000,0.000000,0.012455,-0.001885,-13.144097,0.014340,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.507403,-1.101635,-3.319235,-0.252577,-0.028038
1759151756.000000,30363648.000000,30531584.000000,10870784.000000,15015936.000000,0.000000,0.085353,0.000367,298634.619324,0.000000,3.431205,0.000000,2025-09-29 13:15:56,28.957031,29.117188,10.367188,14.320312,5.655670,2.024841,0.036746,0.000000,298634.619324,0.284800,3.431205,13,15,afternoon,6.104279,0.599692,6.761169,5.655670,4.616776,2.499291,6.761169,0.000000,4.616776,2.499291,6.761169,0.000000,4.616776,2.499291,6.761169,0.000000,0.047854,0.038677,0.088806,0.012455,0.038279,0.035563,0.088806,0.012455,0.038279,0.035563,0.088806,0.012455,0.038279,0.035563,0.088806,0.012455,127244.198937,107820.014956,298634.619324,34944.030503,90888.713526,107727.082320,298634.619324,0.000000,90888.713526,107727.082320,298634.619324,0.000000,90888.713526,107727.082320,298634.619324,0.000000,-0.016022,-0.282486,5.671692,0.484467,9.368545,5.171204,-0.003052,-0.038399,7.944489,0.057220,0.763317,0.024291,195.025221,0.012455,0.022406,156.246820,0.014340,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.520328,-1.114590,-3.342784,-0.176330,0.540586
1759151786.000000,30363648.000000,30531584.000000,10870784.000000,15015936.000000,0.000000,0.085353,0.000367,298634.619324,0.000000,3.431205,0.000000,2025-09-29 13:16:26,28.957031,29.117188,10.367188,14.320312,5.655670,2.024841,0.036746,0.000000,298634.619324,0.284800,3.431205,13,16,afternoon,5.883179,0.490877,6.761169,5.655670,5.182343,1.908580,6.761169,0.000000,4.711220,2.391637,6.761169,0.000000,4.711220,2.391637,6.761169,0.000000,0.037442,0.031177,0.088806,0.012455,0.038087,0.032929,0.088806,0.012455,0.038087,0.032929,0.088806,0.012455,0.038087,0.032929,0.088806,0.012455,160233.900451,132657.640593,298634.619324,34944.030503,116856.951751,123863.007157,298634.619324,0.000000,116856.951751,123863.007157,298634.619324,0.000000,116856.951751,123863.007157,298634.619324,0.000000,0.000000,0.000000,5.655670,-1.105499,-16.350711,6.761169,5.655670,inf,0.000000,0.057220,0.763317,0.000000,0.000000,0.036746,-0.052060,-58.621892,0.088806,-0.000114,2.660583,0.020368,-0.002700,-12.437985,-1.520328,-1.114590,-3.342784,-0.176330,0.540586
1759151816.000000,51691520.000000,57720832.000000,12763136.000000,39858176.000000,0.000423,0.539554,0.004891,477687.915576,25477.383793,9.156550,0.626449,2025-09-29 13:16:56,49.296875,55.046875,12.171875,38.011719,9.628296,2.377319,0.489108,0.078482,503165.299369,0.479856,9.782999,13,16,afternoon,6.456604,1.773048,9.628296,5.655670,6.145172,1.350865,9.628296,5.171204,5.120977,2.686026,9.628296,0.000000,5.120977,2.686026,9.628296,0.000000,0.117502,0.208089,0.489108,0.012455,0.088200,0.153463,0.489108,0.012455,0.088200,0.153463,0.489108,0.012455,0.088200,0.153463,0.489108,0.012455,234064.519805,200032.349625,503165.299369,34944.030503,159780.101486,173221.996361,503165.299369,0.000000,159780.101486,173221.996361,503165.299369,0.000000,159780.101486,173221.996361,503165.299369,0.000000,3.972626,70.241468,5.655670,2.867126,42.405777,6.761169,9.628296,inf,0.000000,0.057220,0.763317,0.452362,1231.039790,0.036746,0.400302,450.759080,0.088806,-0.000114,2.660583,0.020368,-0.002700,-12.437985,1.684495,2.097625,2.496155,1.243590,11.129854
1759151846.000000,51691520.000000,57720832.000000,12763136.000000,39858176.000000,0.000423,0.539554,0.005578,477687.915576,35926.197568,9.156550,0.809331,2025-09-29 13:17:26,49.296875,55.046875,12.171875,38.011719,9.628296,2.377319,0.557778,0.078482,513614.113143,0.489821,9.965881,13,17,afternoon,7.247925,2.172981,9.628296,5.655670,6.577606,1.698955,9.628296,5.171204,5.467694,2.859418,9.628296,0.000000,5.467694,2.859418,9.628296,0.000000,0.226567,0.272276,0.557778,0.012455,0.135158,0.207327,0.557778,0.012455,0.135158,0.207327,0.557778,0.012455,0.135158,0.207327,0.557778,0.012455,329798.536333,195400.716387,513614.113143,34944.030503,195163.502652,197969.003525,513614.113143,0.000000,195163.502652,197969.003525,513614.113143,0.000000,195163.502652,197969.003525,513614.113143,0.000000,0.000000,0.000000,9.628296,3.956604,69.760560,5.671692,4.324341,81.530495,5.303955,0.057220,0.763317,0.068670,14.039843,0.489108,0.545323,4378.234122,0.012455,-0.000114,2.660583,0.020368,-0.002700,-12.437985,1.684495,2.097625,2.496155,1.459139,12.737340
